Date,Date Label,County,Cases,Deaths
3/29/2020,3/30/2020,Macomb,620,20
3/29/2020,3/30/2020,Manistee,1,0
3/29/2020,3/30/2020,Marquette,2,0
3/29/2020,3/30/2020,Mecosta,1,1
3/29/2020,3/30/2020,Midland,8,0
3/29/2020,3/30/2020,Missaukee,1,1
3/29/2020,3/30/2020,Monroe,38,0
3/29/2020,3/30/2020,Montcalm,3,0
3/29/2020,3/30/2020,Muskegon,13,2
3/29/2020,3/30/2020,Newaygo,1,0
3/29/2020,3/30/2020,Oakland,1170,34
3/29/2020,3/30/2020,Oceana,2,0
3/29/2020,3/30/2020,Ogemaw,1,0
3/29/2020,3/30/2020,Osceola,2,0
3/29/2020,3/30/2020,Other,77,0
3/29/2020,3/30/2020,Otsego,17,0
3/29/2020,3/30/2020,Ottawa,25,0
3/29/2020,3/30/2020,Out of State,18,0
3/29/2020,3/30/2020,Roscommon,1,0
3/29/2020,3/30/2020,Saginaw,24,0
3/29/2020,3/30/2020,Sanilac,2,0
3/29/2020,3/30/2020,Shiawassee,5,0
3/29/2020,3/30/2020,St. Clair,20,0
3/29/2020,3/30/2020,Tuscola,4,1
3/29/2020,3/30/2020,Van Buren,4,0
3/29/2020,3/30/2020,Washtenaw,231,5
3/29/2020,3/30/2020,Wayne,1162,21
3/29/2020,3/30/2020,Wexford,1,0
3/30/2020,3/31/2020,Allegan,2,0
3/30/2020,3/31/2020,Antrim,2,0
3/30/2020,3/31/2020,Barry,1,0
3/30/2020,3/31/2020,Bay,9,0
3/30/2020,3/31/2020,Berrien,32,0
3/30/2020,3/31/2020,Calhoun,17,0
3/30/2020,3/31/2020,Cass,4,0
3/30/2020,3/31/2020,Charlevoix,4,0
3/30/2020,3/31/2020,Cheboygan,1,0
3/30/2020,3/31/2020,Clare,1,0
3/30/2020,3/31/2020,Clinton,19,0
3/30/2020,3/31/2020,Crawford,1,0
3/30/2020,3/31/2020,Delta,1,0
3/30/2020,3/31/2020,Detroit City,1801,52
3/30/2020,3/31/2020,Eaton,15,0
3/30/2020,3/31/2020,Emmet,4,0
3/30/2020,3/31/2020,Genesee,150,7
3/30/2020,3/31/2020,Gladwin,2,0
3/30/2020,3/31/2020,Gogebic,1,1
3/30/2020,3/31/2020,Grand Traverse,7,0
3/30/2020,3/31/2020,Gratiot,3,0
3/30/2020,3/31/2020,Hillsdale,12,1
